"Anonymisation","4. SexeVerifieParLeDiplome","14. AnneeDiplomeVerifieParLeDiplome","15. ActiviteActuelle","27. EmploiLieuRegionEtranger","28. EmploiLieuPaysTerritoire","30. Option_EmploiMoisOccupation","32. EmploiContrat","35. EmploiCadre","36. EmploiTempsPleinPartiel","39. EmploiEntreprise","45. EmploiEntrepriseTaille","48. EmploiEntrepriseSecteurActivite","51. EmploiEntrepriseService","53. EmploiEntreprisePoste","54. EmploiResponsabilitesHierarchiques","55. EmploiResponsabiliteBudget","56. EmploiResponsabiliteEquipe","57. EmploiResponsabiliteProjet","61. Option_EmploiInternational","62. Option_EmploiInternationalPrecision","63. EmploiSalaireBrutAnnuelHorsPrimes","64. EmploiPrimesBrutOuiNon","65. EmploiPrimesBrutOuiMontant","66. EmploiAvantagesNatureOuiNon","67. EmploiAvantagesNatureOuiMontant","69. EmploiCommentTrouve","73. Option_EmploiMoyensRechercheEmploi","76. EmploiCritereChoix","78. EmploiAdequationNiveauQualification","79. EmploiAdequationSecteurDisciplinaire","80. EmploiSatisfaction","81. EmploiSatisfactionConditions","82. EmploiSatisfactionCollegues","83. EmploiSatisfactionRemuneration","84. EmploiSatisfactionAutonomie","85. EmploiSatisfactionLocalisation","86. EmploiChercheAutreEmploi","88. VolontariatType","89. VolontariatTypeAutre","113. TheseType","125. TheseSalaireBrutAnnuelHorsPrimes","126. ThesePrimesBrutOuiNon","127. ThesePrimesBrutOuiMontant","128. TheseAvantagesNatureOuiNon","129. TheseAvantagesNatureOuiMontant","130. TheseSalaireBrutAnnuelAvecPrimes","131. 1erEmploiDecritPrecedemment","134. 1erEmploiLapsPourTrouverApresDiplomeMois","135. Option_EcoleSatisfactionFormation","136. Option_EcoleAccompagnementProjetPro","151. Option_ScolariteCesure","152. Option_ScolariteMoisStage","153. Option_ScolariteMoisStageObligatoire","166. Tableaux_Compteur","167. Tableaux_Sexe","168. Tableaux_Promo","170. Effectifs_Promo","171. Effectifs_PromoSexe","175. Tableaux_BooleenFemmes","177. LieuTravail_FranceEtranger","178. Tableaux_BooleenCDI","190. Tableaux_Booleen1erEmploiMoinsDeuxMois","243. PROGRESSION","249. AnneeEnquete","264. Option_ScolariteFiliereFormation","265. Option_ScolariteSpecialisation","Domaine d'activite a un an","Domaine d'activite a 2 ans"
"18034","Homme",2018,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Peu utile","Non","12","12","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2020,"CBD2","Chimie-Matériaux-Environnement",NA,"En recherche d'emploi"
"18034","Homme",2018,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Société fromagere d'annecy","De 50 à 249 salarié(e)s","Industrie agroalimentaire","Production - Exploitation","ingénieur production","Oui","Non","Oui","Oui","Non",NA,35000,"Oui","2500","Non",NA,"Démarché(e) par un ""chasseur de têtes""","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Les perspectives d'évolution au sein de l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Non",NA,"Satisfait","Satisfait","Insatisfait","Très satisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","8","Satisfait(e)","Assez utile","Non","12","12","1","Homme","2018","124","56","0","France","100","0","Terminé",2021,"CBD2","Chimie-Matériaux-Environnement",NA,NA
"18034","Homme",2018,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","20","CDI","Oui","À temps plein","Société fromagère dannecy","De 50 à 249 salarié(e)s","Industrie agroalimentaire","Production - Exploitation","Chef dequipe","Oui","Non","Oui","Oui","Non",NA,35000,"Oui","1500","Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée;Démarché(e) par un ""chasseur de têtes""","Les perspectives d'évolution au sein de l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le lieu géographique;Le montant du salaire proposé","Oui","Non","Insatisfait(e)","Très insatisfait","Ni satisfait ni insatisfait","Très insatisfait","Satisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Satisfait(e)","Utile","Non","12","12","1","Homme","2018","124","56","0","France","100","100","Terminé",2022,"CBD2","Chimie-Matériaux-Environnement",NA,NA
"18035","Femme",2018,"En activité professionnelle","Étranger","Inde",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","L'Oréal Inde","5 000 salarié(e)s ou plus","Industrie chimique","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Junior Executive - R&I development","Non","Oui","Non","Oui","Oui","Vous êtes en poste à l'étranger;Vous traitez des projets avec un pays étranger",34000,"Oui","3800","Oui","1000","Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...);Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Les perspectives d'évolution au sein de l'entreprise","Oui","Oui","Très satisfait(e)","Très satisfait","Satisfait","Satisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très satisfait(e)","Très utile","Non","12","12","1","Femme","2018","124","68","100","Étranger",NA,"100","Terminé",2019,"IPAN","Chimie-Santé","En activité professionnelle",NA
"18023","Femme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)",NA,"CDD","Oui","À temps plein","L'Oréal","5 000 salarié(e)s ou plus","Autre","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur développement","Non","Non","Non","Non","Non",NA,36000,"Non",NA,"Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel","Oui","Oui","Très satisfait(e)","Très satisfait","Très satisfait","Très satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Inutile","Oui","23","12","1","Femme","2018","124","68","100","France","0","100","Terminé",2019,"IPAN","Chimie-Santé","En activité professionnelle",NA
"18023","Femme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)",NA,"CDD","Oui","À temps plein","L'Oréal","5 000 salarié(e)s ou plus","Autre","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur développement","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",30000,"Non",NA,"Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel;Les perspectives d'évolution au sein de l'entreprise;Le lieu géographique","Oui","Oui",NA,"Très satisfait","Très satisfait","Très satisfait","Ni satisfait ni insatisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Inutile","Oui","9","9","1","Femme","2018","124","68","100","France","0","100","Terminé",2020,"IPAN","Chimie-Santé",NA,"En activité professionnelle"
"18103","Femme",2018,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","26000","Non",NA,"Non",NA,"26000",NA,"0","Satisfait(e)","Peu utile","Non","11","9","1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2019,"CBS","Chimie-Santé","En thèse",NA
"18045","Homme",2018,"En activité professionnelle","Hauts-de-France","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Decathlon","5 000 salarié(e)s ou plus","Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure","Ressources humaines","Ingénieur SI","Non","Oui","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",30000,"Oui","5000","Oui","500",NA,"Sites Internet d'entreprises","Le secteur d'activité de l'entreprise","Oui","Non","Très satisfait(e)","Très satisfait","Très satisfait","Satisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","13","13","1","Homme","2018","124","56","0","France","100","100","Terminé",2019,"MAT","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"18003","Homme",2018,"En activité professionnelle","Hauts-de-France","France (y compris DOM-COM)",NA,"Mission d'intérim","Oui","À temps plein","Roquette","De 250 à 4 999 salarié(e)s","Industrie agroalimentaire","Qualité, hygiène, sécurité, environnement, normalisation, certification","Ingenieur Qualite","Oui","Non","Oui","Oui","Oui","Vous traitez des projets avec un pays étranger",35000,"Oui","2700","Non",NA,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Apprentissage (embauche dans l'entreprise d'accueil du contrat)","Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Satisfait","Ni satisfait ni insatisfait","Ni satisfait ni insatisfait","Très satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très satisfait(e)","Peu utile","Non","9","3","1","Homme","2018","124","56","0","France","0","100","Terminé",2019,"Erasmus (étranger)","Chimie-Matériaux-Environnement","En activité professionnelle",NA
"18003","Homme",2018,"En activité professionnelle","Hauts-de-France","France (y compris DOM-COM)",NA,"CDD","Oui","À temps plein","Roquette","5 000 salarié(e)s ou plus","Industrie agroalimentaire","Qualité, hygiène, sécurité, environnement, normalisation, certification","Ingénieur contrôle qualité","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",40000,"Oui","5000","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;Le montant du salaire proposé","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Satisfait","Satisfait","Ni satisfait ni insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Peu utile","Non","18","18","1","Homme","2018","124","56","0","France","0","100","Terminé",2020,"Erasmus (étranger)","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"18036","Homme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)",NA,"CDD","Oui","À temps plein","Bassetti","De 50 à 249 salarié(e)s","Activités informatiques et services d'information (TIC Services)","Études et développement en systèmes d'information","Chef de projet","Non","Non","Non","Oui","Non",NA,30000,"Oui",NA,"Oui","1000","Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Insatisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très satisfait(e)","Assez utile","Non","12","12","1","Homme","2018","124","56","0","France","0","100","Terminé",2019,"IPAN","Chimie-Santé","En activité professionnelle",NA
"18036","Homme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","BASSETTI","De 50 à 249 salarié(e)s","Activités informatiques et services d'information (TIC Services)","Études et développement en systèmes d'information","Chef de projet","Non","Non","Non","Oui","Non",NA,30000,"Oui","4000","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Insatisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très satisfait(e)","Assez utile","Non","12","12","1","Homme","2018","124","56","0","France","100","100","Terminé",2020,"IPAN","Chimie-Santé",NA,"En activité professionnelle"
"18036","Homme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","SPC Consultant","De 50 à 249 salarié(e)s","Activités informatiques et services d'information (TIC Services)","Études et développement en systèmes d'information",NA,"Non","Non","Non","Oui","Non",NA,35000,"Non",NA,"Oui","100","Démarché(e) par un ""chasseur de têtes""","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi","Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé","Oui","Oui","Ni satisfait(e) ni insatisfait(e)","Satisfait","Satisfait","Satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Assez utile","Non","11","11","1","Homme","2018","124","56","0","France","100","100","Terminé",2021,"IPAN","Chimie-Santé",NA,NA
"18036","Homme",2018,"En activité professionnelle","Île-de-France","France (y compris DOM-COM)","14","CDI","Oui","À temps plein","SPC consultants","De 250 à 4 999 salarié(e)s","Activités informatiques et services d'information (TIC Services)","Études - Conseil et expertise",NA,"Non","Non","Non","Non","Non",NA,36000,"Oui","172","Oui","100","Démarché(e) par un ""chasseur de têtes""","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée;Démarché(e) par un ""chasseur de têtes""","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé","Oui","Oui","Ni satisfait(e) ni insatisfait(e)","Très satisfait","Satisfait","Ni satisfait ni insatisfait","Ni satisfait ni insatisfait","Satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","3","Très satisfait(e)","Très utile","Non","10","10","1","Homme","2018","124","56","0","France","100","0","Terminé",2022,"IPAN","Chimie-Santé",NA,NA
"18110","Femme",2018,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Très insatisfait(e)","Assez utile","Oui","21","8","1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2019,"IPAN","Chimie-Santé","En volontariat (VIA, VIE, ...)",NA
"18110","Femme",2018,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Assez utile","Oui","9","8","1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2020,"IPAN","Chimie-Santé",NA,"En volontariat (VIA, VIE, ...)"
"18108","Homme",2018,"En poursuite d'études (hors thèse)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Satisfait(e)","Peu utile","Non","10","10","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2019,"CBD2",NA,"En poursuite d'études (hors thèse)",NA
"18109","Homme",2018,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","24522","Non",NA,"Non",NA,"24522",NA,NA,"Satisfait(e)","Peu utile","Oui","23","12","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2019,"DGE","Chimie-Matériaux-Environnement","En thèse",NA
"18109","Homme",2018,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thèse académique","23000","Non",NA,"Oui","1000","24000",NA,NA,"Satisfait(e)","Inutile","Oui","20","10","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2020,"DGE","Chimie-Matériaux-Environnement",NA,"En thèse"
"18109","Homme",2018,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre","2000","Oui",NA,"Oui",NA,"2000",NA,NA,"Satisfait(e)","Assez utile","Oui","24","12","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"18109","Homme",2018,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Très utile",NA,NA,NA,"1","Homme","2018","124","56","0",NA,NA,NA,"En cours",2022,NA,NA,NA,NA
"18114","Homme",2018,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très satisfait(e)","Assez utile","Non","12","12","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2019,"DGE",NA,"En volontariat (VIA, VIE, ...)",NA
"18114","Homme",2018,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Très satisfait(e)","Assez utile",NA,NA,NA,"1","Homme","2018","124","56","0",NA,NA,NA,"En cours",2020,NA,NA,NA,"En volontariat (VIA, VIE, ...)"
"18114","Homme",2018,"En thèse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre","51167","Non",NA,"Oui","1500","52667",NA,"0","Très satisfait(e)","Assez utile","Non","11","11","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"18114","Homme",2018,"En thèse / PhD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autre","48167","Non",NA,"Non",NA,"48167",NA,"0","Très satisfait(e)","Utile","Non","11","11","1","Homme","2018","124","56","0",NA,NA,NA,"Terminé",2022,"DGE","Chimie-Matériaux-Environnement",NA,NA
"18111","Femme",2018,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Satisfait(e)","Peu utile","Non","12",NA,"1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2019,"MAT","Chimie-Matériaux-Environnement","En recherche d'emploi",NA
"18111","Femme",2018,"En activité professionnelle","Hauts-de-France","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","DECATHLON France","5 000 salarié(e)s ou plus","Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieure Composants et Technologie","Non","Oui","Oui","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",30000,"Oui","5000","Oui",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée;Autre","La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Oui","Très satisfait(e)","Très satisfait","Très satisfait","Satisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Très satisfait(e)","Peu utile","Non",NA,NA,"1","Femme","2018","124","68","100","France","100","0","Terminé",2020,"MAT","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"18111","Femme",2018,"En activité professionnelle","Hauts-de-France","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Decathlon SA","5 000 salarié(e)s ou plus","Autre","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieure Composants et Technologies","Non","Oui","Oui","Oui","Oui","Vous traitez des projets avec un pays étranger",29600,"Oui","5000","Oui",NA,"Sites Internet d'entreprises","Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée;Autre",NA,"Oui","Oui","Très satisfait(e)","Très satisfait","Très satisfait","Ni satisfait ni insatisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Très insatisfait(e)","Assez utile","Non","12",NA,"1","Femme","2018","124","68","100","France","100","0","Terminé",2021,"MAT","Chimie-Matériaux-Environnement",NA,NA
"18086","Femme",2018,"En poursuite d'études (hors thèse)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très satisfait(e)","Très utile","Non",NA,NA,"1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2019,"MAT","Chimie-Matériaux-Environnement","En poursuite d'études (hors thèse)",NA
"18086","Femme",2018,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","CABINET NONY","De 50 à 249 salarié(e)s","Activités juridiques, comptables, de gestion, d'architecture, de contrôle et d'analyses techniques","Innovation, transfert de technologie, propriété industrielle, brevets","Ingénieur brevets chimie","Non","Non","Non","Non","Oui","Vous traitez des projets avec un pays étranger",38000,"Oui",NA,"Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée;Démarché(e) par un ""chasseur de têtes""","L'adéquation avec un projet professionnel;Les perspectives d'évolution au sein de l'entreprise;Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Oui",NA,"Satisfait","Très satisfait","Satisfait","Insatisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Très satisfait(e)","Assez utile","Non",NA,NA,"1","Femme","2018","124","68","100","France","100","100","Terminé",2020,"MAT","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"18086","Femme",2018,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Cabnet NONY","De 50 à 249 salarié(e)s","Activités juridiques, comptables, de gestion, d'architecture, de contrôle et d'analyses techniques","Études - Conseil et expertise","Ingénieur brevet","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",38000,"Non",NA,"Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi","L'adéquation avec un projet professionnel;Les perspectives d'évolution au sein de l'entreprise;Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très insatisfait(e)","Assez utile","Non",NA,NA,"1","Femme","2018","124","68","100","France","100","100","Terminé",2021,"MAT","Chimie-Matériaux-Environnement",NA,NA
"18086","Femme",2018,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","33","CDI","Oui","À temps plein","CABINET NONY","De 50 à 249 salarié(e)s","Autres activités spécialisées, scientifiques et techniques","Innovation, transfert de technologie, propriété industrielle, brevets","Ingénieur Brevet Chimie","Non","Non","Non","Non","Oui","Vous traitez des projets avec un pays étranger",38000,"Non",NA,"Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Démarché(e) par un ""chasseur de têtes"";Autre","L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;Le lieu géographique;Le montant du salaire proposé","Oui","Oui","Ni satisfait(e) ni insatisfait(e)","Satisfait","Très satisfait","Insatisfait","Ni satisfait ni insatisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Très insatisfait(e)","Utile","Non","3",NA,"1","Femme","2018","124","68","100","France","100","100","Terminé",2022,"MAT","Chimie-Matériaux-Environnement",NA,NA
"18089","Femme",2018,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","36","3","1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2019,"MAT","Chimie-Matériaux-Environnement","En recherche d'emploi",NA
"18089","Femme",2018,"En activité professionnelle","Étranger","Singapour",NA,"Autre","Travail à l'étranger (Non concerné)","À temps plein","Nanyang Technological University (NTU) of Singapore","5 000 salarié(e)s ou plus","Enseignement, recherche","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Research Associate","Non","Non","Non","Oui","Oui","Vous êtes en poste à l'étranger;Vous traitez des projets avec un pays étranger",50400,"Non",NA,"Non",NA,"Service Emploi de votre Ecole","Service Emploi de votre Ecole;Apprentissage (embauche dans l'entreprise d'accueil du contrat);Site Internet spécialisé dans l'emploi;Autre","L'adéquation avec un projet professionnel;La notoriété de l'entreprise;Le lieu géographique;Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Ni satisfait ni insatisfait","Satisfait","Satisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","7","Très satisfait(e)","Très utile","Non","21","6","1","Femme","2018","124","68","100","Étranger",NA,"0","Terminé",2020,"MAT","Chimie-Matériaux-Environnement",NA,"En activité professionnelle"
"18089","Femme",2018,"En recherche d'emploi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","Très satisfait(e)","Assez utile","Non","36","3","1","Femme","2018","124","68","100",NA,NA,NA,"Terminé",2021,"MAT","Chimie-Matériaux-Environnement",NA,NA
